Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Менеджер по оптовым продажам автозапчастей (начинающий специалист),ББС,,,,,,Нет опыта,ТК,5/2,Ежемесячно,премии,"Поддержание действующей клиентской базы. Выстраивание долгосрочных отношений с контрагентами. Анализ продаж и выработка предложений по их росту. Контроль отгрузок и дебиторской задолженности, работа в 1С (научим). Ключевые качества, навыки: Опытный пользователь ПК. Отличные коммуникативные навыки, активная жизненная позиция, ориентация на результат. Грамотная устная и письменная речь. Опыт работы в продажах автозапчастей в секторе B2B будет являться преимуществом.",https://hh.ru/vacancy/124259885
Менеджер по работе с клиентами,Лада-Престиж,100.0,400.0,,,'10-19,От 1 года до 3 лет,ТК,"5/2, 10/19",,"скидки, обучение","Обработка входящих запросов + активный поиск клиентов — Холодные звонки и развитие клиентской базы B2B — Консультации по техническим параметрам запчастей — Работа с договорами и контроль сделок — Составление КП, выставление счетов — Подбор и продажа автозапчастей клиентам — Консультация клиентов по подбору з/ч — Формирование возвратных грузов — Работа во внутреннем каталоге СRM (научим) — Наработка своей клиентской базы (СТО, автопарки, магазины); — Работа с действующей холодной базой клиентов в CRM; — Контроль оплаты и отгрузки товаров; — Договорная работа; — Работа с дебиторской задолженностью; — Выезд на встречу к клиентам если потребуется; — Выезд на железный рынок для переговоров офлайн с клиентами; НАШИ ПЛЮСЫ: - Минимальная бюрократия -Горизонтальное развитие + неограниченный рост дохода при результативности. -Компания готова предложить индивидуальные условия оплаты для кандидатов с выдающимися результатами в продажах -Достойную заработную плату, без задержек (оклад + KPI) -Предоставление базы работающих клиентов для быстрого старта продаж -Реальную перспективу карьерного роста",https://hh.ru/vacancy/125437418
Менеджер по работе с клиентами,Мегатрак,80.0,250.0,,,,Нет опыта,ТК,5/2,,,Разработка и внедрение стратегий по привлечению новых клиентов. Ведение и актуализация клиентской базы. Поддержание долгосрочных отношений с клиентами и обеспечение высокого уровня обслуживания. Анализ потребностей клиентов и предложение оптимальных решений. Сотрудничество с другими отделами для обеспечения качественного сервиса.,https://hh.ru/vacancy/125465444
Менеджер по обработке заявок (БЕЗ ПРОДАЖ),Аудио Коннект,55.0,70.0,,,,Нет опыта,ТК,5/2,,"форма, бонус, бонусы, обучение","Быть бизнес-консультантом: Ты будешь находить предпринимателей (ИП) и рассказывать им, как наше решение по предоставлению персонала поможет им масштабироваться и зарабатывать больше. Строить долгосрочные отношения: Ты не прощаешься с клиентом после сделки. Ты становишься для него надежным партнером, к которому можно обратиться с любым вопросом. Стать экспертом в переговорах: Ты освоишь искусство работы с возражениями и научишься находить подход к самым разным людям. Мы ищем тебя, если ты: Хочешь расти в продажах: У тебя есть амбиции и желание хорошо зарабатывать, основанное на своих достижениях. Коммуникабельный и дружелюбный: Тебе нравится общаться с людьми, ты умеешь слушать и слышать собеседника. Целеустремленный и активный: Ты не боишься challenges и готов учиться новому. Неважно, что у тебя в дипломе — важно, что у тебя в голове и в сердце. Ответственный: Ты понимаешь, что от твоей работы зависит успех реальных бизнесов. Опыт не нужен! Мы ценим твой потенциал и желание больше, чем строчки в резюме. Мы всему научим. Что мы предлагаем (твои выгоды): 💰 Выплаты и бонусы , которые зависят от тебя: Конкурентная фиксированная часть + щедрые бонусы за закрытые сделки. Чем больше результата — тем выше заработок. 🏡 Полная свобода выбора: Работай в комфортном офисе, из любой точки мира (удаленно) или совмещай форматы (гибрид). Решаешь только ты. 🧠 Инвестиция в тебя: Полное обучение с нуля, поддержка наставника и постоянное развитие навыков продаж и переговоров. Это твой бесплатный MBA. 🚀 Карьерный рост без границ: Мы растем, и ты сможешь расти вместе с нами: от менеджера до старшего менеджера, тимлида или руководителя направления. 👨👩👧👦 Команда, а не коллектив: Работать у нас — значит быть частью сплоченной команды, где поддерживают, помогают и празднуют общие победы. Кто мы? Группа компаний «Аудио Коннект» — это современный контакт-центр, где каждый голос имеет значение. Мы лидеры рынка, а значит, можем предложить тебе стабильность, надежность и масштабные проекты для работы. Готов начать карьеру в B2B-продажах и заключать серьезные сделки? Не откладывай свое будущее! Откликнись на вакансию прямо сейчас, чтобы наш HR-специалист рассказал тебе все детали. Давай строить твой успех вместе!",https://hh.ru/vacancy/125151901
Менеджер по работе с клиентами,Балу Мебель,50.0,75.0,,,,От 1 года до 3 лет,ТК,5/2,,"бонус, бонусы, обучение","подбор номенклатуры в заказ покупателя; - прием заказов оптовых клиентов по телефону, электронной почте или личном визите; - формирование сопроводительных документов; ▪️Ваши навыки: 1С УНФ приветствуется, но не обязательно. Знание номенклатуры приветствуется, но не обязательно. ▪️От нас: Обучение номенклатуре. Официальное трудоустройство. Куратор при стажировке. Оклад 35 000 + бонусы.",https://hh.ru/vacancy/125358783
Менеджер по работе с клиентами,Трансмясторг,70.0,95.0,,,,Нет опыта,ГПХ,5/2,2 раза в месяц,"обучение, транспорт","Работать с клиентами компании (с момента звонка, до момента получения груза клиентом). Отвечать за загрузку собственного транспорта компании (междугородняя перевозка...",https://hh.ru/vacancy/125296914
Менеджер по продажам,ПК Марка,150.0,,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,обучение,Работа с клиентской базой (без поиска); Построение и развитие долгосрочных партнерских и доверительных отношений; Проведение переговоров и онлайн-встреч; Выезд в командировки; Выполнение плана продаж; Отчетность;,https://hh.ru/vacancy/124594044
Менеджер по работе с клиентами,Негабарит Волга,70.0,200.0,,,,Нет опыта,ТК,5/2,,премии,Организация доставки грузов в обговоренные с заказчиком сроки. Достижение договоренностей с исполнителем (перевозчиком). Оформление договор-заявок и сопутствующей документации. Контроль выполнения договорных обязательств с контр агентами. Расширение базы партнеров. ​​​​​​------------------------------------------------------------------------- Если у вас есть вопросы или вы хотите прийти на интервью — звоните! Мы будем рады вам ответить и пригласить на собеседование.,https://hh.ru/vacancy/125405132
Менеджер по работе с клиентами и маркетплейсами,НМТ,150.0,,,,,От 1 года до 3 лет,ТК,"20/40, 1/2, 5/2",Еженедельно,транспорт,"Работа с маркетплейсами Wildberries, Ozon, Яндекс Маркет; - Регистрация и настройка магазинов; - Создание и оптимизация карточек товаров; - Управление рекламными кампаниями; - Мониторинг цен и акций конкурентов; - Продвижение товаров, управление акциями и скидками; - Обработка заказов с маркетплейсов; - Решение претензий и управление возвратами; - Коммуникация с покупателями; - Взаимодействие с логистикой для контроля сроков доставки; Работа в 1С: - Формирование плана продаж в системе. - Ведение документов по макреплейсам в системе. - Работа с оборачиваемостью продаваемой продукции в системе. Аналитика и планирование: - Мониторинг продаж и ключевых показателей магазинов. - Формирование отчетов. - Прогнозирование спроса и управление запасами. - Анализ эффективности рекламы и товаров. Координация с производством: - Информирование производства о заказах. - Согласование сроков изготовления. - Контроль качества продукции. Оперативная реакция на плохие отзывы. Обсуждение с производством проблем вызывающих плохие отзывы. - Оперативные изменения в карточках товаров. - Ежедневные/еженедельные отчёты о проделанной работе; - Планирование работы; - Работа в проектах; - Работа с задачами.",https://hh.ru/vacancy/125427543
Менеджер отдела продаж,СЦУ Леда,60.0,,,,,Нет опыта,ТК,5/2,,,"Поддержка клиентской базы; Работа в 1С (комплекс); Управление продажами (цены, продвижение, участие в акциях и тп); Мониторинг и анализ рынка (цены, конкуренты, ассортимент и тд); Работа с документацией (в т.ч. с договорами) Взаимодействие с покупателями (ответы на вопросы, работа с отзывами, рекламациями).",https://hh.ru/vacancy/125357345
